cc,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
27393,Married,Female,50000,4,Bachelors,Management,Yes,2,10+ Miles,North America,63,No
25293,Married,Male,80000,4,Bachelors,Management,Yes,0,1-2 Miles,North America,42,No
24725,Married,Female,40000,3,Partial College,Clerical,Yes,0,1-2 Miles,North America,31,No
23200,Married,Female,50000,3,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,41,No
15895,Single,Female,60000,2,Bachelors,Management,Yes,0,10+ Miles,North America,58,No
18577,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40,No
27218,Married,Female,20000,2,Partial High School,Clerical,No,,0-1 Miles,North America,48,No
25006,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
17369,Single,Male,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27,No
18847,Married,Female,60000,2,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70,No
26452,Single,Male,50000,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
20370,Married,Male,70000,3,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52,No
20528,Married,Male,40000,2,Partial High School,Skilled Manual,Yes,2,2-5 Miles,North America,55,No
23549,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
21751,Married,Male,60000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,63,No
13388,Single,Male,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,56,No
18752,Single,Female,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31,No
16917,Married,Male,120000,1,Bachelors,Management,Yes,4,0-1 Miles,North America,38,No
15313,Married,Male,60000,4,Bachelors,Management,Yes,2,2-5 Miles,North America,59,No
25329,Single,Female,40000,3,Partial College,Clerical,No,2,0-1 Miles,North America,32,No
20380,Married,Female,60000,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
23089,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
13749,Married,Male,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No
24943,Married,Male,60000,3,Bachelors,Management,Yes,2,10+ Miles,North America,66,No
17436,Married,Male,60000,2,High School,Professional,No,2,1-2 Miles,North America,51,No
18935,Married,Female,130000,0,Graduate Degree,Management,Yes,3,1-2 Miles,North America,40,No
12100,Single,Male,60000,2,Bachelors,Management,Yes,0,10+ Miles,North America,57,No
18391,Single,Female,80000,5,Partial College,Professional,Yes,2,5-10 Miles,North America,44,No
27660,Married,Male,80000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70,No
18058,Single,Female,20000,3,High School,Skilled Manual,Yes,2,2-5 Miles,North America,78,No
20343,Married,Female,90000,4,Partial College,Professional,Yes,1,1-2 Miles,North America,45,No
24398,Married,Male,130000,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,41,No
28609,Married,Male,30000,2,High School,Skilled Manual,No,2,0-1 Miles,North America,49,No
29231,Single,,80000,4,Partial College,Professional,No,2,0-1 Miles,North America,43,No
25261,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
11644,Single,Male,40000,2,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,36,No
25983,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,North America,43,No
14633,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,No
22983,Single,Female,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,27,No
14469,Married,Female,100000,3,Partial College,Professional,Yes,4,1-2 Miles,North America,45,No
16245,Single,Female,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No
25347,Single,Female,20000,3,Partial High School,Clerical,No,2,0-1 Miles,North America,49,No
15814,Single,Female,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,30,No
11200,Married,Male,70000,4,Bachelors,Management,Yes,1,1-2 Miles,North America,58,No
25101,Married,Male,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
21801,Married,Female,70000,4,Partial College,Professional,Yes,1,1-2 Miles,North America,55,No
22127,Married,Male,60000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,67,No
20414,Married,Female,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,29,No
23672,Married,Female,60000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,67,No
28815,Married,Female,50000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,35,No
27753,Married,Male,40000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30,No
27643,Single,Male,70000,5,Partial College,Professional,Yes,3,2-5 Miles,North America,44,No
13754,Single,Female,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,No
27388,Married,Male,60000,3,Bachelors,Management,No,2,1-2 Miles,North America,66,No
24745,Single,Female,30000,2,High School,Skilled Manual,No,2,0-1 Miles,North America,49,No
15272,Single,Male,40000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30,No
14507,Married,Male,100000,2,Graduate Degree,Management,Yes,3,1-2 Miles,North America,65,No
21441,Married,Male,50000,4,Bachelors,Management,Yes,2,10+ Miles,North America,64,No
23368,Married,Female,60000,5,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41,No
16217,Single,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,39,No
16247,Single,Female,60000,4,Graduate Degree,Skilled Manual,,0,1-2 Miles,North America,47,No
22010,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,No
11287,Married,Male,70000,5,Partial College,Professional,No,3,5-10 Miles,North America,45,No
26236,Married,Female,40000,3,Partial College,Clerical,Yes,1,0-1 Miles,North America,31,No
17531,Married,Male,60000,2,High School,Professional,No,2,5-10 Miles,North America,50,No
12964,Married,Male,70000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44,No
24643,Single,Female,60000,4,Bachelors,Management,Yes,2,10+ Miles,North America,63,No
27637,Single,Female,100000,1,Partial College,Professional,No,3,1-2 Miles,North America,44,No
11890,Married,Female,70000,5,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,47,No
14443,Married,Male,130000,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,40,No
20505,Married,Female,40000,5,High School,Professional,No,2,10+ Miles,North America,61,No
14592,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40,No
22227,Married,Female,60000,2,High School,Professional,Yes,2,5-10 Miles,North America,50,No
21471,Married,Male,70000,2,Partial College,Professional,Yes,1,10+ Miles,North America,59,No
21260,Single,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
19223,Married,Female,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,48,No
18517,Married,Male,100000,3,Bachelors,Management,Yes,4,0-1 Miles,North America,41,No
21717,Married,Male,40000,2,Partial College,Clerical,Yes,1,0-1 Miles,North America,47,No
13760,Married,Male,60000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No
18145,Married,Male,80000,5,Bachelors,Management,No,2,2-5 Miles,Europe,62,No
21770,Married,Male,60000,4,Bachelors,Management,Yes,2,10+ Miles,North America,60,No
11165,Married,Female,60000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,33,No
16377,Single,Female,80000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No
26248,Married,Male,20000,3,Partial High School,Clerical,No,2,0-1 Miles,North America,52,No
23461,Married,Female,90000,5,Partial College,Professional,Yes,3,2-5 Miles,North America,40,No
29133,Single,Female,60000,4,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42,No
18910,Single,Male,30000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
11699,Single,,60000,,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,,No
16725,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26,No
28269,Single,Female,130000,1,Bachelors,Management,No,1,2-5 Miles,North America,45,No
18390,Married,,80000,5,Partial College,Professional,Yes,2,0-1 Miles,North America,44,No
29112,Single,Male,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,30,No
14090,Married,Female,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28,No
27040,Married,Male,20000,2,Partial High School,Clerical,Yes,2,1-2 Miles,North America,49,No
16795,Married,Female,70000,4,Bachelors,Management,Yes,1,1-2 Miles,North America,59,No
22014,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26,No
11619,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,No
11199,Married,Female,70000,4,Bachelors,Management,Yes,1,10+ Miles,North America,59,No
18069,Married,Male,70000,5,Bachelors,Management,Yes,4,10+ Miles,North America,60,No
23712,Single,Female,70000,2,Bachelors,Management,Yes,1,10+ Miles,North America,59,No
20518,Married,Female,70000,2,Partial College,Professional,Yes,1,10+ Miles,North America,58,No
28026,Married,Female,40000,2,High School,Professional,No,2,2-5 Miles,North America,59,No
11669,Single,Female,70000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38,No
27198,Single,Female,80000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,40,No
26341,Married,Female,70000,5,Graduate Degree,Professional,Yes,2,0-1 Miles,North America,37,No
14493,Single,Female,70000,3,Graduate Degree,Management,No,2,1-2 Miles,North America,53,No
26678,Single,Female,80000,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,49,No
23275,Married,Male,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,No
20084,Married,Male,20000,2,High School,Manual,No,2,0-1 Miles,North America,53,No
27731,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
23027,Single,Male,130000,1,Bachelors,Management,No,4,0-1 Miles,North America,44,No
14514,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,26,No
19634,Married,Male,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31,No
18504,Married,Male,70000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,49,No
11225,Married,Female,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,55,No
17657,Married,Male,40000,4,Partial College,Clerical,No,0,0-1 Miles,North America,30,No
14077,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
13296,Married,Male,110000,1,Bachelors,Management,Yes,3,5-10 Miles,North America,45,No
20535,Married,Female,70000,4,Partial College,Professional,Yes,1,10+ Miles,North America,56,No
28043,Married,Female,60000,2,Bachelors,Management,Yes,0,10+ Miles,North America,56,No
12957,Single,Female,70000,1,Bachelors,Professional,No,1,0-1 Miles,North America,44,No
15412,Married,Male,130000,2,Graduate Degree,Management,Yes,3,2-5 Miles,North America,69,No
20514,Married,Female,70000,2,Partial College,Professional,Yes,1,2-5 Miles,North America,59,No
20758,Married,Male,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50,No
11801,Married,Male,60000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,No
22211,Married,Male,60000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,32,No
28087,Single,Female,40000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,27,No
27441,Married,Male,60000,3,High School,Professional,No,2,2-5 Miles,North America,53,No
21714,Single,Female,80000,5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No
23797,Single,Male,20000,3,Partial High School,Clerical,No,2,0-1 Miles,North America,50,No
13216,Married,Female,60000,5,Bachelors,Management,Yes,3,10+ Miles,North America,59,No
25908,Married,Female,60000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,27,No
14608,Married,Male,50000,4,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,42,No
13313,Married,Female,120000,1,High School,Professional,No,4,2-5 Miles,North America,45,No
18952,Married,Female,100000,4,Bachelors,Management,Yes,4,0-1 Miles,North America,40,No
17699,Married,Male,60000,1,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,,No
11783,Married,Female,60000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,34,No
29030,Married,Male,70000,2,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,54,No
13151,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
17260,Married,Male,90000,5,Partial College,Professional,Yes,3,0-1 Miles,North America,41,No
18105,Married,Female,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,55,No
19660,Married,Male,80000,4,Bachelors,Management,Yes,0,0-1 Miles,North America,43,No
20698,Married,Male,60000,4,Bachelors,Skilled Manual,Yes,3,5-10 Miles,North America,42,No
15468,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,35,No
26270,Single,Female,20000,2,Partial High School,Clerical,Yes,2,1-2 Miles,North America,49,No
28228,Single,Female,80000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,50,No
23256,Single,Male,30000,1,High School,Clerical,No,1,5-10 Miles,North America,52,No
20361,Married,Male,50000,2,Graduate Degree,Management,Yes,2,5-10 Miles,North America,69,No
21306,Single,Male,60000,2,High School,Professional,Yes,2,5-10 Miles,North America,51,No
11255,Married,Male,70000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,73,No
28090,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27,No
26778,Single,Female,40000,,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,No
23248,Married,Female,10000,2,High School,Manual,Yes,2,1-2 Miles,North America,53,No
27994,Married,Female,40000,4,High School,Professional,Yes,2,5-10 Miles,North America,69,No
25954,Married,Male,60000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,31,No
15749,Single,Female,70000,4,Bachelors,Management,Yes,2,10+ Miles,North America,61,No
25899,Married,Female,70000,2,High School,Professional,Yes,2,10+ Miles,North America,53,No
23333,Married,Male,40000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,30,No
24514,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,30,No
27505,Single,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
29243,Single,Male,110000,1,Bachelors,Management,Yes,1,5-10 Miles,North America,43,No
14271,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,32,No
20421,Single,Female,40000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,26,No
16009,Single,Male,170000,1,Graduate Degree,Management,No,4,0-1 Miles,North America,66,No
18411,Married,Male,60000,2,High School,Professional,No,2,5-10 Miles,North America,51,No
18572,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,39,No
18891,Married,Female,40000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,28,No
16773,Married,Male,60000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,33,No
11233,Married,Male,70000,4,Partial College,Professional,Yes,2,10+ Miles,North America,53,No
12056,Married,Male,120000,2,Graduate Degree,Management,Yes,3,5-10 Miles,North America,64,No
18423,Single,Male,80000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,No
22743,Married,Female,40000,5,High School,Professional,Yes,2,10+ Miles,North America,60,No
25343,Single,Female,20000,3,Partial High School,Clerical,Yes,2,1-2 Miles,North America,50,No
13390,Married,Female,70000,4,Partial College,Professional,No,1,1-2 Miles,North America,56,No
17482,Single,Female,40000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,29,No
20504,Married,Female,40000,5,High School,Professional,No,2,2-5 Miles,North America,60,No
12205,Single,Female,130000,2,Bachelors,Management,No,4,0-1 Miles,North America,67,No
17519,Married,Female,60000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,32,No
18347,Single,Female,30000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,31,No
29052,Single,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27,No
19147,Married,Male,40000,0,Bachelors,Professional,No,1,0-1 Miles,North America,42,No
19217,Married,Male,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,No
15839,Single,Male,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,32,No
25041,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,No
28052,Married,Male,60000,2,High School,Professional,Yes,2,10+ Miles,North America,55,No
26693,Married,,70000,3,Partial College,Professional,Yes,1,5-10 Miles,North America,49,No
26065,Single,Female,110000,3,Bachelors,Management,No,4,1-2 Miles,North America,42,No
13942,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,46,No
11219,Married,Male,60000,2,High School,Professional,Yes,2,10+ Miles,North America,55,No
23197,Married,Male,50000,3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,40,No
18322,Single,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,26,No
15879,Married,Male,70000,5,Bachelors,Management,Yes,2,2-5 Miles,North America,61,No
28278,Married,Male,50000,2,Graduate Degree,Management,Yes,2,5-10 Miles,North America,71,No
24416,Married,Male,90000,4,High School,Professional,Yes,2,1-2 Miles,North America,45,No
14872,Married,Male,30000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,32,No
19731,Married,Male,80000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,68,No
23801,Married,Female,20000,2,Partial High School,Clerical,Yes,2,0-1 Miles,North America,49,No
11807,Married,Male,70000,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,No
11622,Married,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,32,No
26597,Single,Female,60000,4,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42,No
19228,Married,Female,40000,2,Partial College,Clerical,Yes,1,0-1 Miles,North America,48,No
14569,Married,Male,60000,1,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,No
12029,Married,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28,No
28192,Married,Female,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,46,No
28858,Single,Male,80000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,No
14432,Single,Male,90000,4,Graduate Degree,Management,Yes,1,5-10 Miles,North America,73,No
19747,Married,Male,50000,4,Bachelors,Management,Yes,2,10+ Miles,North America,63,No
13934,Married,Male,40000,4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,46,No
13337,Married,Female,80000,5,Bachelors,Management,Yes,2,5-10 Miles,North America,64,No
27190,Married,Female,40000,3,Partial College,Clerical,Yes,1,1-2 Miles,North America,32,No
21713,Single,Male,80000,5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No
21752,Married,Male,60000,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,64,No
21451,Married,Female,40000,4,High School,Professional,Yes,2,10+ Miles,North America,61,No
20754,Married,Male,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,51,No
26495,Single,Female,40000,2,High School,Professional,Yes,2,10+ Miles,North America,57,No
11823,Married,Female,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,39,No
23449,Married,Male,60000,2,High School,Professional,Yes,2,5-10 Miles,North America,48,No
23459,Married,Male,60000,2,High School,Professional,Yes,2,5-10 Miles,North America,50,No
19543,Married,Male,70000,5,Graduate Degree,Professional,No,3,10+ Miles,North America,47,No
11941,Single,Male,60000,0,Partial College,Skilled Manual,Yes,,5-10 Miles,North America,29,No
14389,Married,Male,60000,2,Bachelors,Management,Yes,0,2-5 Miles,North America,59,No
19856,Married,Female,60000,4,Bachelors,Management,Yes,2,2-5 Miles,North America,60,No
27740,Married,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
23455,Single,Male,80000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,50,No
15292,Single,Female,60000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,35,No
23513,Married,Female,40000,3,Partial College,Professional,Yes,2,5-10 Miles,North America,54,No
24322,Married,Female,60000,4,Bachelors,Skilled Manual,,2,0-1 Miles,North America,42,No
21693,Single,Female,60000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,40,No
28056,Married,Male,70000,2,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,53,No
11788,Single,Female,70000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,No
22296,Married,,70000,0,Bachelors,Professional,No,1,0-1 Miles,North America,38,No
15319,Married,Female,70000,4,Bachelors,Management,No,1,1-2 Miles,North America,59,No
17541,Married,Female,40000,4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,43,No
13073,Married,Female,60000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,30,No
23491,Single,Male,100000,,Partial College,Professional,No,4,1-2 Miles,North America,45,No
16651,Married,Female,120000,2,Bachelors,Management,Yes,3,5-10 Miles,North America,62,No
16813,Married,Male,60000,2,Partial College,Professional,Yes,2,10+ Miles,North America,55,No
27434,Single,Male,70000,4,Partial College,Professional,Yes,1,10+ Miles,North America,56,No
